probe	shell_vol	solvent_vol	fsv
0	22327.75	5837.75	0.261457	../2LYZ.xyzr
0.1	22327.75	4891.875	0.219094	../2LYZ.xyzr
0.2	22327.75	4032.25	0.180594	../2LYZ.xyzr
0.3	22327.75	3285.125	0.147132	../2LYZ.xyzr
0.4	22327.75	2653.25	0.118832	../2LYZ.xyzr
0.5	22327.75	2158.5	0.0966734	../2LYZ.xyzr
0.6	22327.75	3154.875	0.141298	../2LYZ.xyzr
0.7	22327.75	2533.875	0.113485	../2LYZ.xyzr
0.8	22327.75	2764.375	0.123809	../2LYZ.xyzr
0.9	22327.75	2561.5	0.114723	../2LYZ.xyzr
1	22327.75	2084.25	0.093348	../2LYZ.xyzr
1.1	22327.75	1907.375	0.0854262	../2LYZ.xyzr
1.2	22327.75	1952	0.0874248	../2LYZ.xyzr
1.3	22327.75	1834.25	0.0821511	../2LYZ.xyzr
1.4	22327.75	1510.5	0.0676512	../2LYZ.xyzr
1.5	22327.75	1377	0.0616721	../2LYZ.xyzr
1.6	22327.75	1395.125	0.0624839	../2LYZ.xyzr
1.7	22327.75	1216.75	0.054495	../2LYZ.xyzr
1.8	22327.75	1075.625	0.0481744	../2LYZ.xyzr
1.9	22327.75	1065.25	0.0477097	../2LYZ.xyzr
2	22327.75	949	0.0425032	../2LYZ.xyzr
2.1	22327.75	906.375	0.0405941	../2LYZ.xyzr
2.2	22327.75	858	0.0384275	../2LYZ.xyzr
2.3	22327.75	824.875	0.0369439	../2LYZ.xyzr
2.4	22327.75	686.375	0.0307409	../2LYZ.xyzr
2.5	22327.75	629.125	0.0281768	../2LYZ.xyzr
2.6	22327.75	644.625	0.028871	../2LYZ.xyzr
2.7	22327.75	589.125	0.0263853	../2LYZ.xyzr
2.8	22327.75	542	0.0242747	../2LYZ.xyzr
2.9	22327.75	446.625	0.0200031	../2LYZ.xyzr
3	22327.75	397.125	0.0177862	../2LYZ.xyzr
3.1	22327.75	308.5	0.0138169	../2LYZ.xyzr
3.2	22327.75	187.5	0.00839762	../2LYZ.xyzr
3.3	22327.75	191.5	0.00857677	../2LYZ.xyzr
3.4	22327.75	176	0.00788257	../2LYZ.xyzr
3.5	22327.75	146.125	0.00654455	../2LYZ.xyzr
3.6	22327.75	136.125	0.00609667	../2LYZ.xyzr
3.7	22327.75	145	0.00649416	../2LYZ.xyzr
3.8	22327.75	0	0	../2LYZ.xyzr
3.9	22327.75	0	0	../2LYZ.xyzr
4	22327.75	0	0	../2LYZ.xyzr
4.1	22327.75	0	0	../2LYZ.xyzr
4.2	22327.75	0	0	../2LYZ.xyzr
4.3	22327.75	0	0	../2LYZ.xyzr
4.4	22327.75	0	0	../2LYZ.xyzr
4.5	22327.75	0	0	../2LYZ.xyzr
4.6	22327.75	0	0	../2LYZ.xyzr
4.7	22327.75	0	0	../2LYZ.xyzr
4.8	22327.75	0	0	../2LYZ.xyzr
4.9	22327.75	0	0	../2LYZ.xyzr
5	22327.75	0	0	../2LYZ.xyzr
5.1	22327.75	0	0	../2LYZ.xyzr
5.2	22327.75	0	0	../2LYZ.xyzr
5.3	22327.75	0	0	../2LYZ.xyzr
5.4	22327.75	0	0	../2LYZ.xyzr
5.5	22327.75	0	0	../2LYZ.xyzr
5.6	22327.75	0	0	../2LYZ.xyzr
5.7	22327.75	0	0	../2LYZ.xyzr
5.8	22327.75	0	0	../2LYZ.xyzr
5.9	22327.75	0	0	../2LYZ.xyzr
6	22327.75	0	0	../2LYZ.xyzr
6.1	22327.75	0	0	../2LYZ.xyzr
6.2	22327.75	0	0	../2LYZ.xyzr
6.3	22327.75	0	0	../2LYZ.xyzr
6.4	22327.75	0	0	../2LYZ.xyzr
6.5	22327.75	0	0	../2LYZ.xyzr
6.6	22327.75	0	0	../2LYZ.xyzr
6.7	22327.75	0	0	../2LYZ.xyzr
6.8	22327.75	0	0	../2LYZ.xyzr
6.9	22327.75	0	0	../2LYZ.xyzr
7	22327.75	0	0	../2LYZ.xyzr
7.1	22327.75	0	0	../2LYZ.xyzr
7.2	22327.75	0	0	../2LYZ.xyzr
7.3	22327.75	0	0	../2LYZ.xyzr
7.4	22327.75	0	0	../2LYZ.xyzr
7.5	22327.75	0	0	../2LYZ.xyzr
7.6	22327.75	0	0	../2LYZ.xyzr
7.7	22327.75	0	0	../2LYZ.xyzr
7.8	22327.75	0	0	../2LYZ.xyzr
7.9	22327.75	0	0	../2LYZ.xyzr
8	22327.75	0	0	../2LYZ.xyzr
8.1	22327.75	0	0	../2LYZ.xyzr
8.2	22327.75	0	0	../2LYZ.xyzr
8.3	22327.75	0	0	../2LYZ.xyzr
8.4	22327.75	0	0	../2LYZ.xyzr
8.5	22327.75	0	0	../2LYZ.xyzr
8.6	22327.75	0	0	../2LYZ.xyzr
8.7	22327.75	0	0	../2LYZ.xyzr
8.8	22327.75	0	0	../2LYZ.xyzr
8.9	22327.75	0	0	../2LYZ.xyzr
9	22327.75	0	0	../2LYZ.xyzr
9.1	22327.75	0	0	../2LYZ.xyzr
9.2	22327.75	0	0	../2LYZ.xyzr
9.3	22327.75	0	0	../2LYZ.xyzr
9.4	22327.75	0	0	../2LYZ.xyzr
9.5	22327.75	0	0	../2LYZ.xyzr
9.6	22327.75	0	0	../2LYZ.xyzr
9.7	22327.75	0	0	../2LYZ.xyzr
9.8	22327.75	0	0	../2LYZ.xyzr
9.9	22327.75	0	0	../2LYZ.xyzr
10	22327.75	0	0	../2LYZ.xyzr
